Player,Current Team,Minutes,Non Penalty xG,Non Penalty xG/Shot,Open Play xG Assisted,Shots,OBV,Shot OBV,Dribble & Carry OBV,Defensive Action OBV,Pass OBV,Deep Progressions,Touches in box,Line Breaking Passes,Line Breaking Passes Completed,Line Breaking Passes Completed%,Line Breaking Passes On Ball Value,Ball Receipts in Space 10m%,Turnovers,Fouls,Fouls Won,Aerial Win%,Aerial Wins,Pressures,Tackles & Interceptions,Dribbled Past,Goal Kicks,Goals Saved Above Average,Long Goal Kicks,Non Penalty PSxG Faced,Non Penalty Save%,Non Penalty Shots Faced,Penalty Goals Conceded,Penalties Faced,Saves,Short Goal Kicks,Shot Stopping%,Shots Faced,Box Cross%,Ball Receipts in Space 10m% in Final Third,Ball Receipts in Space 10m% in Opposing Half,Ball Receipts in Space 2m%,Ball Receipts in Space 2m% in Final Third,Ball Receipts in Space 2m% in Opposing Half,Ball Receipts in Space 5m%,Ball Receipts in Space 5m% in Final Third,Ball Receipts in Space 5m% in Opposing Half,Carries,Carry Length,Clearances,Dispossessed,Dribble%,Dribbles,Errors,Failed Dribbles,Open Play Box Cross%,Penalty Wins,Space Received In,Space Received in Final Third,Space Received in Opposing Half,Successful Box Cross%,Successful Open Play Box Cross%,Touches,Goalkeeper OBV,Second Yellow Cards,Aggressive Actions,All Aerials,Ball Recoveries,Ball Recoveries in Opposing Half,Blocked Shots,Blocks/Shot,Counterpressures,Counterpressures in Opposing Half,Counterpressures in Opposing Half%,Defensive Action Distance,Goalkeeper Aggressive Distance,Goals Conceded,Interceptions,Non Aerial Duels,Non Penalty Goals Conceded,Non Penalty xG Faced,Opposition Non Penalty Shots on Target,Opposition Non Penalty Shots on Target%,Opposition Shots Outside Box,Pressures in Opposing Half,Pressures in Opposing Half%,Red Cards,Tack/Dribbled Past%,Tackles,Yellow Cards,Assists,Crosses,Crossing%,Deep Completions,Key Passes,Left To Right Footedness%,Line Breaking Passes Completed in Final Third,Line Breaking Passes Completed in Final Third%,Line Breaking Passes Completed in Opposing Half,Line Breaking Passes Completed in Opposing Half%,Line Breaking Passes Distance,Line Breaking Passes Distance in Final Third,Line Breaking Passes Distance in Opposing Half,Line Breaking Passes in Final Third,Line Breaking Passes in Opposing Half,Line Breaking Passes On Ball Value in Final Third,Line Breaking Passes On Ball Value in Opposing Half,Line Breaking Passes Received,Line Breaking Passes to Space 10m,Line Breaking Passes to Space 10m in Final Third,Line Breaking Passes Received 10m in Opposing Half,Line Breaking Passes Received 2m,Line Breaking Passes Received 2m in Final Third,Line Breaking Passes Received 2m in Opposing Half,Line Breaking Passes Received 5m,Line Breaking Passes Received 5m in Final Third,Line Breaking Passes Received 5m in Opposing Half,Line Breaking Passes Received Distance,Line Breaking Passes Received Distance in Final Third,Line Breaking Passes Received Distance in Opposing Half,Line Breaking Passes Received in Final Third,Line Breaking Passes Received in Opposing Half,Line Breaking Passes to Space 10m,Line Breaking Passes to Space 10m in Final Third,Line Breaking Passes to Space 10m in Opposing Half,Line Breaking Passes to Space 2m,Line Breaking Passes to Space 2m in Final Third,Line Breaking Passes to Space 2m in Opposing Half,Line Breaking Passes to Space 5m,Line Breaking Passes to Space 5m in Final Third,Line Breaking Passes to Space 5m in Opposing Half,Line Breaking Passes/Pass in Final Third%,Line Breaking Passes/Pass in Opposing Half%,Line Breaking Passes/Pass%,Long Ball%,Long Balls,Non Throw-in Key Passes,Non Throw-in Passes,Non Throw-in Passes from Defensive Third,Non Throw-in Passes Into Final Third ,Non Throw-in Through Balls,Open Play Assists,Open Play Key Passes,Open Play Pass Backward% in Final Third,Open Play Pass Forward% in Final Third,Open Play Pass Sideways% in Final Third,Open Play Passes,Open Play Passes in Final Third,Open Play Passes Into Box,Pass Backward%,Pass Forward%,Pass Length,Pass Sideways%,Passes,Passes Inside Box,Passes Into Box,Passes Being Pressured%,Passing%,Pressured Long Balls,Pressured Pass Length,Pressured Passes in Defensive Third,Pressured Pass%,Received Passes,Successful Open Play Pass Backward% in Final Third,Successful Open Play Pass Forward% in Final Third,Successful Open Play Pass Sideways% in Final Third,Successful Open Play Passes in Final Third,Successful Open Play Passes Into Box,Successful Pass Length,Successful Passes Inside Box,Successful Passes Into Box,Successful Pressured Pass Length,Successful Set Piece Passes Into Box,Successful Through Balls,Successful Crosses,Successful Passes,Through Balls,Unpressured Long Balls,Corners,Free Kicks,Free Kicks from Defensive Third,Free Kicks from Final Third,Free Kicks from Middle Third,Penalties,Penalty Conversion%,Set Piece Assists,Set Piece Key Passes,Set Piece Passes Into Box,Set Piece xG Assisted,Throw-ins,Throw-Ins from Defensive Third,Throw-Ins from Final Third,Throw-Ins from Middle Third,Goal Conversion%,Goals & Penalty Goals,Non Penalty Goals,Non Penalty PSxG,Non Penalty Shots,Open Play Shots,Shooting%,Shot Touch%,Shots Outside Box,Successful Dribbles,xG,xG Assisted,Age
Panagiotis Armenakas,Oakland Roots SC,2151.0921,0.0714,0.0682,0.0727,1.0459,0.1541,-0.05,0.0573,0.0206,0.1283,5.8993,1.9664,12.244,5.7037,0.4658,0.0422,0.2233,2.0082,1.297,1.0459,0.1764,0.1255,20.8359,2.0082,0.9623,0,-0.228,0,1.2781,0.6326,10.7108,0.1255,0.1255,0,0,-0.0556,10.8363,0.4919,0.1907,0.2291,0.9215,0.9407,0.9349,0.674,0.6776,0.6996,39.6217,6.1467,0.5439,1.3806,0.6538,1.0878,0,0.3765,0.3611,0.0418,7.3015,7.1858,7.4213,0.2931,0.125,101.0416,0,0,13.0538,0.7112,4.3512,2.5103,0.1255,0.0117,6.8197,4.2257,0.6196,60.4039,,1.6317,0.4183,1.5898,1.5062,1.0477,4.1002,0.3828,3.7655,11.6313,0.5582,0,0.6229,2.5521,0.1673,0.1255,4.3094,0.1747,0.1673,1.2551,0.7722,1.4449,0.3015,3.6503,0.4247,3.9441,3.2857,3.2264,4.7911,8.5936,0.0099,0.0335,4.1066,0.3802,0.2281,0.3041,3.0419,1.1407,1.673,1.673,0.6844,0.9125,4.9827,6.2056,5.3586,1.3688,2.2814,0.2281,0,0,4.2587,1.1407,2.5856,2.2054,0.3041,1.1407,0.3962,0.3424,0.2814,0.4529,7.1126,1.1296,48.0314,5.1043,5.6482,0.3347,0.0836,0.7531,0.1049,0.2119,0.683,41.2116,19.5389,4.5186,0.1612,0.1388,20.9269,0.6999,50.3325,0.502,7.8239,0.2011,0.7622,0.8367,17.4678,2.1337,0.7603,39.3288,0.1423,0.1812,0.6763,12.9283,1.3388,18.8222,0.1255,2.4266,16.68,1.0878,0.1255,0.7531,38.3665,0.3347,6.2758,1.5062,4.3094,0.4602,2.0501,1.799,0,,0.0418,0.3765,3.3052,0.0389,2.3011,0.3347,1.0459,0.9204,0.04,0.0418,0.0418,0.0447,1.0459,0.7531,0.2,0.0103,0.7531,0.7112,0.0714,0.1116,27
Sergio Camello,Rayo Vallecano,1237.1077,0.3168,0.1319,0.1316,2.4007,-0.0329,-0.0014,0.0094,-0.0137,-0.0398,2.1097,5.82,1.6732,1.0912,0.6521,0.0208,0.0163,4.0012,0.9457,0.7275,0.3214,1.3095,21.6795,0.9457,0.0727,0,0.1039,0,1.1224,0.7021,11.4218,0,0.0727,0,0,0.0303,11.4945,0,0.0166,0.0152,0.7172,0.75,0.7157,0.2459,0.2166,0.2588,21.6795,5.9737,1.3095,1.8187,0.4761,1.5277,0,0.8002,0,0,3.7745,3.7982,3.8355,0,0,54.6355,0,0,9.1665,4.074,2.1825,1.455,0.1455,0.0127,7.6387,7.0567,0.9238,80.9561,,1.0912,0.3637,0.582,1.0185,1.0144,3.4192,0.2993,3.783,17.8238,0.8221,0,0.8888,0.6547,0.1455,0.1455,0.2182,0.3333,0.3637,1.455,0.0936,0.873,0.75,1.0185,0.6666,4.0683,3.8778,3.7076,1.164,1.5277,0.0188,0.0211,8.9482,0.0727,0,0,5.6745,2.5462,4.2922,1.5277,0.5092,1.2367,3.2475,3.2011,3.2468,3.7102,6.8385,0,0,0,0.9457,0.7275,0.873,0.291,0.2182,0.2182,0.172,0.1242,0.0958,0.8333,0.4365,1.3095,19.2788,0.7275,1.164,0.4365,0.1455,1.3095,0.1323,0.1397,0.7279,18.4785,9.894,0.873,0.2059,0.0936,14.5767,0.7003,19.4243,0.8002,0.873,0.2734,0.8014,0.2182,13.1716,0.4365,0.6849,23.6438,0.1274,0.1176,0.7549,7.4205,0.582,15.1677,0.4365,0.582,14.37,0,0.291,0.0727,15.5685,0.4365,0.2182,0,0,0,0,0,0,,0,0,0,0,0.1455,0,0.0727,0.0727,0.0909,0.2182,0.2182,0.2139,2.4007,1.8187,0.2727,0.0439,0.6547,0.7275,0.3168,0.1316,24
Iván Martín,Girona,2222.209,0.073,0.164,0.0756,0.4455,0.1033,0.0166,0.0739,0.0336,-0.0263,6.2775,1.539,6.318,4.536,0.7179,0.0349,0.12,1.9845,0.9315,0.972,0.2812,0.3645,18.5896,1.8225,0.81,0,-0.0869,0,1.29,0.6382,11.259,0.081,0.2025,0,0,-0.0228,11.4615,0.2972,0.1169,0.1239,0.9357,0.9233,0.9331,0.5879,0.5766,0.5758,51.8403,6.6966,0.3645,1.458,0.6341,1.6605,0.0405,0.6075,0.2972,0,6.0847,5.9392,6.0761,0.1578,0.1578,119.7592,0,0,10.449,1.296,5.3055,2.8755,0.324,0.0287,6.8445,3.6855,0.5384,58.5208,,1.458,0.6885,1.134,1.377,1.0985,3.807,0.3381,4.0905,9.1935,0.4945,0,0.5833,1.944,0.0405,0.0405,0.567,0.2857,0.162,0.891,0.8632,1.1745,0.5471,2.5515,0.6702,4.2142,2.8782,3.4496,2.1465,3.807,0.0211,0.0297,6.48,0.0405,0,0,5.7105,1.4985,3.24,2.5515,0.648,1.3365,4.5424,4.1778,4.2584,1.8225,3.888,0.2025,0.0405,0.081,3.6045,0.7695,1.9035,1.6605,0.243,0.6885,0.1872,0.1337,0.1226,0.8611,2.916,0.8505,55.5663,8.1,4.5765,0.1215,0.0405,0.8505,0.0842,0.1598,0.7559,54.9588,18.7516,1.4985,0.1172,0.1056,17.106,0.7771,55.9713,0.3645,1.4985,0.2105,0.903,0.4455,15.2221,2.997,0.8659,51.7593,0.0989,0.1562,0.7447,15.552,0.7695,17.3065,0.1215,0.7695,15.5178,0,0,0.162,50.5443,0.1215,2.4705,0,0.6075,0,0,0.6075,0,,0,0,0,0,0.405,0,0.243,0.162,0.0909,0.0405,0.0405,0.078,0.4455,0.3645,0.2727,0.0037,0.243,1.053,0.073,0.0756,26
Pepelu,Valencia,1958.7205,0.0258,0.0468,0.0232,0.6432,0.2533,-0.0022,0.0809,0.0317,0.1424,7.7652,1.0108,12.406,6.9841,0.5629,0.025,0.1961,0.6892,1.4243,0.9189,0.5098,1.1946,14.7034,2.7109,0.6892,0,-0.0413,0,1.1533,0.6338,10.1086,0.1837,0.2297,0,0,-0.0126,10.3383,0.6691,0.1078,0.1988,0.9502,0.9607,0.9488,0.6764,0.6862,0.7073,38.5047,4.4008,1.6541,0.4135,0.75,0.5513,0,0.1378,0.4,0,7.0342,6.6981,7.1613,0.6756,0.2857,109.4949,0,0,10.1545,2.3433,5.0083,2.7569,0.2297,0.0227,5.8813,2.9866,0.5078,50.7046,,1.4243,1.1027,1.6081,1.1946,1.151,3.2623,0.3227,3.3082,5.6516,0.3843,0.0459,0.7,2.2974,0.3675,0.0918,4.1813,0.2747,0.0459,1.5162,0.0432,0.7351,0.3404,3.4461,0.5281,3.368,2.3057,3.0213,2.1595,6.5246,-0.0033,0.0082,2.3893,0.0459,0.0459,0.0459,2.0676,0.3675,0.873,0.6432,0.0918,0.2756,3.9879,5.1188,4.2823,0.3675,0.9649,0.1378,0,0.0459,5.1002,0.5054,2.2974,1.8838,0.0459,0.7351,0.2993,0.2933,0.2644,0.5236,10.7059,1.4243,57.3435,9.0058,10.614,0.1378,0.0918,0.4594,0.0279,0.3307,0.6412,50.7269,18.0577,1.8379,0.0552,0.2235,22.8474,0.7211,57.3435,0.1378,6.1111,0.1394,0.7796,1.0108,19.0209,2.0676,0.816,40.3886,0.0405,0.2693,0.69,12.452,0.3216,20.6469,0,1.7,18.4938,1.3784,0,1.1487,44.7077,0.1378,9.6951,3.2623,3.4001,0.3675,1.1946,1.8379,0.0918,1,0,0.9649,4.2731,0.0724,0,0,0,0,0,0.0918,0,0.0254,0.5513,0.4135,0.3333,0.0058,0.3675,0.4135,0.0978,0.0956,27
Sebastian Sun Anderson,Hartford Athletic,2828.3455,0.033,0.0611,0.056,0.5409,0.358,-0.0028,0.0688,0.0246,0.2632,3.9457,1.9092,6.025,2.6532,0.4403,0.0386,0.2146,1.0182,1.4001,1.241,0.4,0.5091,19.5061,3.4048,0.9864,0,0.1242,0,1.0788,0.7196,11.5191,0.0318,0.0636,0,0,0.0364,11.5827,0.4756,0.0948,0.1719,0.9483,0.931,0.9411,0.682,0.5431,0.638,27.0794,5.3256,2.0683,0.6045,0.6,0.7955,0.0318,0.3182,0.4788,0.0318,7.445,6.014,6.8641,0.4408,0.3928,81.9065,0,0,12.3146,1.2728,3.5957,1.591,0.1909,0.0165,5.3777,3.182,0.5917,46.7608,,1.05,1.3046,2.1001,0.9546,0.9714,3.4048,0.2955,4.5503,6.3959,0.3278,0,0.6804,3.0866,0.1272,0.1591,4.2639,0.3134,0.2545,1.6864,0.0658,0.9396,0.4722,1.7135,0.5081,3.5154,3.3824,3.1314,1.9899,3.3718,0.0225,0.0305,1.6029,0.2763,0.0552,0.2211,1.3818,0.7185,1.1055,0.8291,0.4974,0.6633,6.3077,6.315,6.1795,0.8291,1.2713,0.0552,0,0,1.8241,0.608,1.1055,0.9949,0.3316,0.608,0.2926,0.2541,0.2275,0.3717,7.446,1.3046,34.8755,6.555,5.4731,0.1591,0.1272,0.6364,0.107,0.3289,0.5639,30.0705,12.1873,2.2592,0.1584,0.2358,22.5422,0.6056,43.9762,0.5091,8.4961,0.1287,0.7149,0.8273,19.9573,2.0683,0.6516,25.9657,0.1612,0.2782,0.5604,7.8915,0.8909,19.6471,0.1591,2.9593,17.4962,2.0683,0.0318,1.3364,31.4388,0.1591,6.6187,1.8137,3.0866,0.2545,0.9864,1.8456,0,,0.0318,0.8909,6.2368,0.0689,9.1007,2.0047,4.0412,3.0547,0.1176,0.0636,0.0636,0.038,0.5409,0.2545,0.1176,0.0066,0.3818,0.4773,0.033,0.1249,23
Akeem Ward,Colorado Springs,2128.5796,0.022,0.0521,0.0456,0.4228,0.2133,-0.0188,0.0637,0.0327,0.105,5.6234,1.1838,10.762,6.397,0.5944,0.0869,0.3868,1.1838,1.7335,1.6912,0.2692,0.2959,12.8959,3.4248,0.8033,0,0.0319,0,1.3427,0.6395,10.9509,0,0,0,0,0.0087,10.9509,0.4347,0.2105,0.3575,0.9475,0.9078,0.9454,0.7672,0.6447,0.7515,33.6139,5.3119,2.114,0.6342,0.6428,1.1838,0.1268,0.4228,0.4347,0,8.9539,6.8718,8.5271,0.3684,0.3684,88.3265,0,0,7.1878,1.0993,5.0315,2.5791,0.3805,0.0347,4.3972,3.0865,0.7019,48.4053,,1.3952,1.353,2.0718,1.3107,1.1626,3.6362,0.332,3.8053,5.1583,0.4,0,0.7205,2.8751,0.4228,0.0422,1.6067,0.2105,0.0845,0.6342,0.1359,1.2794,0.5,3.3866,0.5769,3.3692,2.597,3.1444,2.5588,5.8701,0.0457,0.0696,1.3546,0.1505,0.0752,0.1505,1.0536,0.6773,0.9031,0.5268,0.301,0.4515,5.0946,4.1306,5.1045,0.9783,1.2041,0.301,0,0.1505,4.2144,0.7525,2.1072,1.7309,0.301,0.9031,0.4047,0.3919,0.3272,0.5,3.8899,0.5919,37.1233,9.1751,5.9617,0.2536,0.0422,0.5919,0.0497,0.3859,0.5643,36.1931,14.4603,2.9174,0.1226,0.3022,19.3182,0.575,44.4803,0.4228,2.9174,0.1292,0.7899,0.3382,16.3572,2.0718,0.6838,30.4005,0.0754,0.3773,0.5471,8.9637,0.8033,18.287,0.1268,0.8033,18.2933,0,0.1268,0.3382,35.1361,0.2536,3.5516,0,0.9301,0.2114,0.0422,0.6765,0,,0,0,0,0,7.357,2.2409,2.9597,2.1563,0,0,0,0.0103,0.4228,0.2536,0.2,0.0047,0.2114,0.761,0.022,0.0456,29
Abel Ruiz,Girona,1451.2462,0.1829,0.1404,0.045,1.4263,-0.0524,0.0007,-0.0434,-0.0013,-0.0126,1.5503,6.4496,1.0542,0.5581,0.5294,0.0179,0.0229,2.1705,0.5581,1.0542,0.2121,0.4341,20.2791,0.8062,0.248,0,-0.1437,0,1.0965,0.6551,9.9845,0.062,0.248,0,0,-0.0399,10.2325,0.1818,0.0243,0.0242,0.7049,0.7154,0.7281,0.2337,0.2032,0.2378,16.4961,6.6553,0.4341,1.6124,0.4615,0.8062,0,0.4341,0.1818,0,3.5902,3.5356,3.6971,0,0,43.1629,0,0,11.4728,2.0465,1.1782,0.6201,0.248,0.0248,4.7131,3.4728,0.7368,77.6868,,1.3023,0.372,0.4341,1.2403,0.9077,3.5969,0.3602,3.2868,15.0077,0.74,0,0.6363,0.6821,0.186,0,0.372,0.3333,0.7441,0.4961,0.1151,0.186,0.5,0.372,0.5454,4.6953,2.2293,3.5402,0.372,0.6821,0.0163,0.0164,10.1085,0.062,0,0,6.6976,3.2248,5.3333,1.6744,0.4961,1.3643,3.1023,2.7816,3.1202,4.9612,7.8759,0.062,0,0,0.4961,0.124,0.31,0.186,0,0.124,0.0689,0.0705,0.0723,0.5625,0.9922,0.4961,17.1163,0.8062,1.1162,0.124,0,0.4961,0.1846,0.1384,0.6769,15.2558,8.062,0.6821,0.2446,0.0791,15.7545,0.6762,17.2403,0.6821,0.6821,0.3057,0.8633,0.31,14.8828,0.372,0.8352,18.8527,0.2135,0.1262,0.6601,6.3876,0.372,15.3081,0.4341,0.372,14.6647,0,0.124,0.124,14.8837,0.124,0.6821,0,0,0,0,0,0.124,0.5,0,0,0,0,0.124,0,0.062,0.062,0.1428,0.248,0.186,0.1241,1.3023,1.2403,0.3333,0.033,0.124,0.372,0.2801,0.045,25
Nicolas Firmino,Lexington SC,2651.9971,0.1749,0.101,0.0545,1.7307,0.0011,-0.0634,0.0527,0.0073,-0.0074,4.0724,4.2081,5.57,3.5144,0.6309,0.0404,0.1721,2.1719,1.2217,1.8665,0.3833,0.7805,12.3529,2.2398,0.6787,0,-0.0338,0,0.9502,0.6329,8.8574,0.1357,0.1357,0,0,-0.0126,8.9932,0.2711,0.1164,0.1449,0.9084,0.9041,0.9182,0.5664,0.5479,0.5576,37.8733,6.2524,0.6447,2.1719,0.6976,1.4592,0,0.4411,0.2758,0,6.296,5.6217,5.922,0.2222,0.2222,87.862,0,0,7.1945,2.0362,4.9547,3.0882,0.0678,0.0076,4.7511,2.8846,0.6071,61.4701,,1.1877,0.7466,1.4932,0.9841,0.9085,2.6809,0.3026,3.2239,6.8212,0.5521,0,0.6875,2.1719,0.1696,0,0.7805,0.3913,0.3393,0.7466,0.0512,0.9946,0.4285,1.923,0.5087,3.1684,2.0452,3.4661,2.3208,3.7796,0.0268,0.0329,6.4984,0.3315,0,0,5.3711,1.6577,3.0502,1.724,0.3978,0.7294,4.2175,3.6045,3.504,2.1219,3.9123,0.1989,0,0.1989,2.3208,0.4641,1.1272,0.5304,0.1326,0.3978,0.2464,0.2126,0.1609,0.6117,2.8846,0.7466,37.6697,5.6674,4.0045,0.1696,0,0.7466,0.0829,0.2663,0.6506,36.0407,15.543,1.9683,0.16,0.1503,19.0439,0.6896,38.3823,0.6787,2.0022,0.1741,0.8709,0.1357,16.3256,2.0022,0.8477,36.2783,0.1076,0.1983,0.694,11.9796,0.9162,18.6744,0.2375,0.9162,16.3305,0,0.0678,0.3054,33.4276,0.1696,2.7488,0,1.1538,0.2714,0.2375,0.6447,0,,0,0,0.0339,0,0.7126,0.1357,0.2714,0.3054,0.0588,0.1018,0.1018,0.1243,1.7307,1.0181,0.2156,0.0196,0.5769,1.0181,0.1749,0.0545,24
Manu Sánchez,Levante UD,2886.7747,0.046,0.123,0.02,0.3741,0.0871,-0.0098,0.0476,-0.0397,0.0852,3.0553,1.247,5.7676,2.5876,0.4486,0.0285,0.2007,1.4964,2.0264,0.7482,0.3389,0.6235,17.8954,4.2712,0.9976,0,0.039,0,0.8184,0.7222,9.4777,0.3429,0.3429,0,0,0.0139,9.8206,0.6904,0.1208,0.1815,0.8884,0.8406,0.8779,0.5836,0.5,0.5654,21.1377,6.7583,1.8082,0.6858,0.3448,0.9041,0.0311,0.5923,0.7384,0,6.7979,5.7244,6.4186,0.6428,0.6818,68.121,0,0,9.4465,1.8394,3.4917,1.7147,0.3741,0.0394,6.4847,4.5829,0.7067,49.2677,,1.1847,1.3405,2.9306,0.7794,0.8426,2.8058,0.296,3.1488,6.6718,0.3728,0.0311,0.746,3.9282,0.187,0,2.12,0.3088,0.1247,0.4988,0.5508,0.8417,0.45,1.4653,0.4895,2.522,1.9571,2.4354,1.8705,2.9929,0.0127,0.0169,1.4341,0.1247,0.0311,0.1247,1.247,0.7482,1.1535,0.5611,0.2494,0.53,5.1244,4.1305,5.1163,0.9041,1.3405,0,0,0,1.4964,0.3741,0.8105,0.4988,0.0935,0.2494,0.297,0.2546,0.2434,0.3039,3.18,0.4676,27.1236,5.9859,2.9929,0.0623,0,0.4052,0.125,0.3039,0.571,26.4689,10.9741,2.0264,0.1432,0.3059,18.3692,0.5508,35.2608,0.3741,2.6188,0.1405,0.7329,0.4052,16.5277,1.1847,0.5471,20.0465,0.199,0.2443,0.5565,6.89,0.6858,16.4939,0.0623,0.8729,16.4391,0.187,0,0.6547,25.8454,0.0623,2.7747,0.1247,0.53,0,0.2494,0.2805,0,,0,0.0935,0.5923,0.0052,8.1371,1.5276,2.9929,3.6164,0.0833,0.0311,0.0311,0.0336,0.3741,0.2182,0.1666,0.0054,0.1247,0.3117,0.046,0.0252,25
Michee Ngalina,Hartford Athletic,2212.7251,0.2438,0.1153,0.1731,2.1963,0.2885,0.0395,0.1702,0.0035,0.0725,1.8303,6.3857,3.7776,1.7435,0.4615,0.0482,0.0559,3.6606,0.6507,1.4642,0.317,1.0575,15.1713,0.7728,0.366,0,0.0413,0,1.0582,0.7191,11.2259,0.0406,0.0813,0,0,0.0114,11.3073,0.5102,0.0526,0.0478,0.7587,0.7953,0.7652,0.3321,0.3391,0.3347,21.5978,9.5838,0.366,1.5862,0.4307,2.6437,0,1.5049,0.5,0.0406,4.4798,4.6282,4.4964,0.6428,0.6428,50.3135,0,0,7.2399,3.3352,4.4741,2.8064,0.0406,0.0036,4.1487,3.4979,0.8431,63.7522,,1.1388,0.244,0.5287,1.0168,0.9916,3.6199,0.3224,4.5554,8.4194,0.5549,0,0.5909,0.8948,0,0.122,2.0743,0.4117,0.6914,0.7728,0.1784,1.1623,0.5405,1.5691,0.5294,1.7809,1.6719,1.612,2.1503,2.964,0.0456,0.0494,6.7997,0.3487,0.2324,0.2905,4.7656,2.9058,3.8357,1.5691,0.9298,1.2204,3.9378,4.0039,4.0609,4.1844,5.463,0,0,0,0.8136,0.5811,0.7555,0.1162,0.0581,0.0581,0.2371,0.2383,0.2338,0.28,1.0168,0.6507,17.2457,1.3422,1.1388,0.0813,0.122,0.6507,0.1647,0.1647,0.6704,17.083,10.8599,1.9523,0.2089,0.1572,16.2572,0.6338,17.327,1.8709,1.993,0.291,0.6854,0.1626,14.389,0.7728,0.6693,19.8895,0.2469,0.1385,0.6144,6.7518,0.5694,15.6039,0.6507,0.5694,15.3233,0,0.0406,0.8541,11.8767,0.0813,0.8541,0,0.0406,0,0,0.0406,0.0813,0.5,0,0,0.0406,0,0.0813,0,0.0406,0.0406,0.0769,0.2033,0.1626,0.2568,2.115,1.7489,0.4423,0.0436,0.6914,1.1388,0.3076,0.1731,25
Carles Pérez,Aris Thessaloniki,1589.0123,0.1317,0.0684,0.079,1.9257,0.0782,-0.0049,0.0848,0.0053,-0.0081,2.2655,4.701,4.6443,1.9823,0.4268,0.0246,0.0645,2.2089,2.9452,0.6796,0.2857,0.9062,19.7669,2.4921,1.4726,0,0.0549,0,0.8479,0.6666,7.5329,0.1699,0.1699,0,0,0.0231,7.7028,0.5227,0.0728,0.0726,0.767,0.788,0.7777,0.4014,0.4172,0.4273,19.7103,9.1584,0.7929,2.2089,0.4516,1.7558,0,0.9628,0.5151,0,4.7355,4.7923,4.868,0.5,0.3846,51.0883,0,0,12.234,3.1717,3.0018,2.039,0.1699,0.0225,7.5896,6.117,0.8059,61.2093,,0.9628,0.623,1.869,0.7929,0.6923,2.3788,0.3157,3.2284,10.818,0.5472,0,0.5593,3.3416,0.1132,0,1.9257,0.3235,0.623,1.0195,0.7703,0.9628,0.425,1.3026,0.4035,2.6077,2.7453,2.8489,2.2655,3.2284,0.018,0.0218,4.078,0.2265,0.1132,0.2265,2.3788,1.3026,2.0956,1.1894,0.623,1.1327,3.9414,3.5178,4.1005,2.4354,3.5116,0,0,0,1.3026,0.6796,0.9628,0.2265,0.1132,0.1699,0.3174,0.2766,0.2671,0.3902,2.3221,1.0195,19.3705,1.9823,1.6991,0.0566,0,0.9628,0.129,0.129,0.7419,18.4076,10.5348,1.869,0.1511,0.1569,18.8124,0.6918,19.4838,1.1327,2.4921,0.2267,0.6715,0.2265,16.0852,0.7363,0.6282,19.4838,0.175,0.1083,0.7166,6.7966,0.7363,17.3305,0.2831,0.9062,16.9497,0.1699,0.0566,0.623,13.0835,0.0566,2.0956,0.3964,0.623,0,0.4531,0.1699,0,,0,0.0566,0.623,0.0017,0.1132,0,0.0566,0.0566,0.0882,0.1699,0.1699,0.1297,1.9257,1.5858,0.2647,0.0376,1.1894,0.7929,0.1317,0.0807,27
Moussa Diarra,Deportivo Alavés,2116.4302,0.0057,0.045,0.0086,0.1275,0.1052,-0.0065,0.0521,-0.0144,0.0862,2.9767,0.6378,6.8889,4.465,0.6481,0.0302,0.5281,0.4677,1.2757,1.1056,0.5625,1.5308,10.3759,2.6365,0.5953,0.0425,0.0051,0,0.8982,0.6718,8.9301,0.3401,0.3401,0,0.0425,0.0019,9.2703,0.238,0.1935,0.3209,0.948,0.9032,0.9012,0.8419,0.6935,0.7469,25.1744,4.4463,1.9135,0.6378,0.4615,0.5528,0.0425,0.2976,0.3225,0.0425,10.5126,6.7684,8.2198,0.2142,0.3,69.74,0,0,5.6982,2.7215,2.9341,0.8079,0.2976,0.0333,3.1468,1.4458,0.4594,40.547,,1.3182,0.5953,2.0411,0.893,0.8605,2.7215,0.3047,2.5939,2.0411,0.1967,0,0.7741,2.6365,0.2551,0,0.4677,0.3636,0.085,0.17,0.7413,0.4252,0.5,1.4458,0.5964,3.5403,2.9845,2.7889,0.8504,2.4238,0.0038,0.0111,0.5528,0.085,0.085,0.085,0.3401,0.2126,0.2551,0.2126,0.1275,0.17,4.3964,4.0838,4.2745,0.4252,0.4677,0.1275,0,0.0425,3.2318,0.2976,0.8504,1.3182,0.1275,0.2976,0.3125,0.3081,0.2488,0.5728,4.38,0.17,31.7232,9.4404,3.8697,0,0,0.17,0.0662,0.3253,0.6084,30.49,7.059,1.3182,0.0536,0.2777,20.883,0.6686,35.678,0.17,1.786,0.1382,0.8176,0.6803,19.2888,2.0411,0.7155,24.9618,0.1067,0.2718,0.6213,4.38,0.4252,19.6806,0.085,0.5953,18.4531,0.17,0,0.17,29.1717,0,3.6996,0,1.1906,0.2126,0,0.978,0,,0,0,0.4677,0,3.9547,0.978,1.4033,1.5734,0,0,0,0,0.1275,0.085,0,0.0018,0.085,0.2551,0.0057,0.0086,25
