Metric Name,Short Name,Abbreviation,Metric Type,Category,Sub-Category,Definition
Indirect Free Kick xG,IFK xG,IFKxG,team,Set Pieces,Indirect Free Kick,Expected goal value of shots created from indirect free kicks.
Indirect Free Kick xG Conceded,IFK xG,IFKxG,team,Set Pieces,Indirect Free Kick,Expected goal value of opponent shots created from indirect free kicks.
Shots from Indirect Free kicks,IFK Shots,IFKSh,team,Set Pieces,Indirect Free Kick,Shots created via indirect free kick situations.
Shots from Indirect Free kicks Conceded,IFK Shots,IFKSh,team,Set Pieces,Indirect Free Kick,Opponent shots conceded from indirect free kicks.
Shots/Indirect Free Kick,Shots/IFK,Sh/IFK,team,Set Pieces,Indirect Free Kick,Number of shots per indirect free kick.
Shots/Indirect Free Kick Conceded,Shots/IFK,Sh/IFK,team,Set Pieces,Indirect Free Kick,Number of shots conceded per indirect free kick.
xG/Indirect Free Kick,xG/IFK,xG/IFK,team,Set Pieces,Indirect Free Kick,Expected goal value of shots created per indirect free kick.
xG/Indirect Free Kick Conceded,xG/IFK,xG/IFK,team,Set Pieces,Indirect Free Kick,Expected goal value of opponent shots conceded per indirect free kick.
Goals/Set Piece,Goals/SP,G/SP,team,Set Pieces,Overview,Goals per set piece
Goals/Set Piece Conceded,Goals/SP,G/SP,team,Set Pieces,Overview,Opponent goals per set piece conceded
Set Piece Goals,SP Goals,SPG,team,Set Pieces,Overview,Number of goals from set pieces.
Set Piece Goals Conceded,SP Goals,SPG,team,Set Pieces,Overview,Number of goals conceded from set pieces.
Set Pieces,SP,SP,team,Set Pieces,Overview,Number of set pieces per game.
Set Pieces Conceded,SP,SP,team,Set Pieces,Overview,Number of opponent set pieces per game conceded.
Set Piece Shots,SP Shots,SPSh,team,Set Pieces,Overview,Shots generated from set piece situations
Set Piece Shots Conceded,SP Shots,SPSh,team,Set Pieces,Overview,Number of shots conceded from set pieces.
Set Piece xG,SP xG,SPxG,team,Set Pieces,Overview,Expected goals from set pieces.
Set Piece xG Conceded,SP xG,SPxG,team,Set Pieces,Overview,Cumulative xG value of shots conceded from set pieces.
Shots/Set Piece,Shots/SP,Sh/SP,team,Set Pieces,Overview,Number of shots per set piece.
Shots/Set Piece Conceded,Shots/SP,Sh/SP,team,Set Pieces,Overview,Number of opponent shots conceded per set piece.
xG/Set Piece,xG/SP,xG/SP,team,Set Pieces,Overview,Expected goal value of shots per set piece taken
xG/Set Piece Conceded,xG/SP,xG/SP,team,Set Pieces,Overview,Expected goal value of opponent shots conceded per set piece.
Goals from Throw-ins,Throw-in Goals,TiG,team,Set Pieces,Throw-in,Goals scored from throw-ins.
Goals from Throw-ins Conceded,Throw-in Goals,TiG,team,Set Pieces,Throw-in,Goals conceded from throw-ins.
Goals/Throw-in,Goals/Throw-in,G/Ti,team,Set Pieces,Throw-in,Number of goals per Throw-in.
Goals/Throw-in Conceded,Goals/Throw-in,G/Ti,team,Set Pieces,Throw-in,Number of goals conceded per throw-in.
Shots from Throw-ins,Throw-in Shots,TiSh,team,Set Pieces,Throw-in,Shots taken from throw-ins.
Shots from Throw-ins Conceded,Throw-in Shots,TiSh,team,Set Pieces,Throw-in,Shots conceded from throw-ins.
Shots/Throw-in,Shots/Throw-in,Sh/Ti,team,Set Pieces,Throw-in,Number of shots per throw-in.
Shots/Throw-in Conceded,Shots/Throw-in,Sh/Ti,team,Set Pieces,Throw-in,Number of shots conceded per throw-in.
Throw-ins,Throw-ins,Ti,team,Set Pieces,Throw-in,Number of throw-ins.
Throw-ins Conceded,Throw-ins,Ti,team,Set Pieces,Throw-in,Number of opponent throw-ins conceded.
Throw-in xG,Throw-in xG,TixG,team,Set Pieces,Throw-in,Expected goal value of shots created from throw-ins.
Throw-in xG Conceded,Throw-in xG,TixG,team,Set Pieces,Throw-in,Expected goal value of opponent shots conceded from throw-ins.
xG/Throw-in,xG/Throw-in,xG/Ti,team,Set Pieces,Throw-in,Expected goal value of shots created per throw-in.
xG/Throw-in Conceded,xG/Throw-in,xG/Ti,team,Set Pieces,Throw-in,Expected goal value of opponent shots conceded per throw-in.
Clear Shots,Clear Shots,ClSh,team,Shots,Shots,Shots generated when only the opponent's goalkeeper was in between shot-taker and goal. (Within a cone between the shot-taker and the goalposts.)
Clear Shots Conceded,Clear Shots,ClSh,team,Shots,Shots,Shots generated when only a team's goalkeeper was in between shot-taker and goal.
Counter Attacking Shots,Counter-attack Shots,CAttSh,team,Shots,Shots,Shots generated within 15 seconds of a possession that originates from a team's own half.
Counter Attacking Shots Conceded,Counter-attack Shots,CAttSh,team,Shots,Shots,Shots generated within 15 seconds of a possession that originates from opponent's own half.
High Press Shots,High Press Shots,HPSh,team,Shots,Shots,Shots generated from possessions that were won within 5 seconds of a defensive action (pressure/tackle/interception/blocked pass) in the opposition’s half.
High Press Shots Conceded,High Press Shots,HPSh,team,Shots,Shots,Shots conceded from possessions that were lost within 5 seconds of a opposition defensive action (pressure/tackle/interception/blocked pass) in the team's half.
Open Play Shots,OP Shots,OPSh,team,Shots,Shots,Number of shots in open play.
Open Play Shots Conceded,OP Shots,OPSh,team,Shots,Shots,Number of shots conceded in open play.
Opposition Shot Distance,Shot Distance,ShD,team,Shots,Shots,Average distance from goal of opponent non-penalty shots.
Penalties,Penalties,Pen,team,Shots,Shots,Number of penalties won.
Penalties Conceded,Penalties,Pen,team,Shots,Shots,Number of penalties conceded.
Shot Distance,Shot Distance,ShD,team,Shots,Shots,Average distance from goal of non-penalty shots.
Shots,Shots,Sh,team,Shots,Shots,Number of shots.
Shots Conceded,Shots,Sh,team,Shots,Shots,Non-penalty shots conceded.
Shots Outside the Box,Shots Outside Box,ShOB,team,Shots,Shots,Shots from outside the box in open play.
Shots Outside the Box Conceded,Shots Outside Box,ShOB,team,Shots,Shots,Shots conceded from outside the box in open play.
