Team Name,Games,Goal Difference,xG Difference w/Pen,NP Goal Difference,NP xG Difference,Goals,NP xG,xG/Shot,OP xG,Own Goals,Penalty Goals,Shots,Shot Distance,Clear Shots,Counter-attack Shots,High Press Shots,Shots Outside Box,Penalties,OP Shots,SP Goals,SP xG,SP Shots,Goals/SP,xG/SP,Shots/SP,SP,Corner Goals,Corner xG,Corner Shots,Goals/Corner,xG/Corner,Shots/Corner,Corners,DFK Goals,DFK xG,DFK Shots,Goals/DFK,xG/DFK,Shots/DFK,DFK,IFK Goals,IFK xG,IFK  Shots,Goals/IFK,xG/IFK,Shots/IFK,IFK,Throw-in Goals,Throw-in xG,Throw-in Shots,Goals/Throw-in,xG/Throw-in,Shots/Throw-in,Throw-ins,Passing%,Passes Inside Box,Deep Completions,Box Cross%,GK Long Pass%,GK Pass Length,Box Crosses,Successful Box Crosses,Successful Box Cross%,Passes,Successful Passes,OP Passes,Pace To Goal,Directness,Dribbles,Dribble%,Successful Dribbles,Failed Dribbles,Deep Progressions,PPDA,Defensive Distance,Aggression,Aggressive Actions,Defensive Regains,Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Possession%,Possessions,Ball In Play Time,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Loudoun United,31,-0.13,0.02,-0.16,0.08,1.45,1.25,0.09,0.98,0.06,0.16,13.35,16.89,1.87,1,3.29,3.77,0.19,9.71,0.29,0.28,3.65,0.01,0.01,0.09,39.74,0.13,0.16,2.29,0.02,0.03,0.39,5.84,0,0.03,0.55,0,0.06,1.13,0.48,0.06,0.05,0.65,0,0,0.04,14.71,0.1,0.04,0.16,0.01,0,0.01,18.71,81,3.06,4.71,26,44,35.95,8.06,2.58,24,506.1,411.74,456.55,2.45,0.88,11.39,46,5.29,6.1,46.16,9.97,48,0.23,95.19,58.68,167.48,37.13,35.68,6.71,86.65,52,24.32,68,55,184.45,52.02,0.82,0.86,0.21,-0.09,-0.13,1.66
Tampa Bay Rowdies,29,-0.24,-0.41,-0.03,-0.28,1.41,0.93,0.08,0.66,0.03,0.03,11.17,16.59,1.93,0.93,2.83,3.48,0.07,8.41,0.24,0.28,2.76,0.01,0.01,0.08,36.72,0.17,0.18,1.59,0.04,0.05,0.4,3.93,0,0.01,0.38,0,0.03,1,0.38,0.03,0.06,0.59,0,0,0.04,13.83,0.03,0.02,0.21,0,0,0.01,18.59,80,1.41,3.03,33,40,31.38,7.97,2.59,30,456.86,367.59,409.41,2.55,0.88,11.83,54,6.38,5.45,38.59,11.24,44.81,0.21,95.66,54.21,160.76,36.34,35.1,6.14,76.48,48,22.31,64,50,185.55,51.83,0.63,0.63,0.26,-0.08,-0.12,1.31
Indy Eleven,29,-0.28,-0.04,-0.28,-0.06,1.48,1.05,0.09,0.66,0.1,0.14,11.1,15.62,1.79,0.83,2,2.38,0.14,6.76,0.52,0.39,4.34,0.01,0.01,0.11,38.76,0.21,0.18,2.1,0.04,0.04,0.44,4.79,0.03,0.04,0.72,0.05,0.06,1.11,0.66,0.24,0.15,1.07,0.02,0.01,0.08,12.76,0.03,0.02,0.45,0,0,0.02,20.55,71,2.28,3.55,36,29,50.57,11.21,3.14,32,381.45,271.24,331.86,3.15,0.84,6.93,45,3.1,3.83,35.66,12.29,46.33,0.19,92.79,53.76,160.1,34.07,32.59,6,75.86,47,24.1,74,44,189.07,49.46,0.98,0.58,0.07,-0.14,-0.38,1.1
Oakland Roots SC,30,-0.33,-0.14,-0.37,-0.16,1.4,1,0.11,0.84,0.03,0.2,9.3,17.04,1.67,0.67,2.87,2.8,0.2,6.97,0.13,0.16,2.33,0,0,0.06,39.6,0.1,0.07,1.07,0.03,0.02,0.3,3.6,0,0.02,0.4,0,0.06,1.09,0.37,0.03,0.06,0.8,0,0,0.05,15.6,0,0.01,0.07,0,0,0,20.03,79,2.47,3.3,33,37,36.16,8.67,1.83,22,455.27,360.83,405.53,2.77,0.87,11.6,51,5.97,5.63,38.6,10.39,46.03,0.24,110.6,62.27,185.87,41.63,37.53,7.87,88.9,48,24.9,66,49,191.3,52,0.64,0.62,0.21,0.04,-0.34,1.18
Lexington SC,30,-0.37,0.02,-0.2,0.15,1.03,1.16,0.1,0.91,0.07,0,11.1,15.95,1.83,0.6,2.3,2.67,0,7.93,0.1,0.25,3.17,0,0.01,0.08,38.47,0.07,0.17,1.7,0.01,0.03,0.33,5.13,0.03,0.03,0.57,0.07,0.05,1.13,0.5,0,0.04,0.53,0,0,0.04,13.33,0,0.02,0.37,0,0,0.02,19.5,82,2.47,3.73,36,35,34.26,9.9,2.67,30,464.83,382.9,417,2.29,0.86,14.3,57,8.13,6.17,41.7,12.01,45.79,0.2,90.13,50.5,149.5,32.7,28.4,5.03,74.43,50,18.47,65,51,173.5,53.8,0.68,0.71,0.17,-0.17,-0.25,1.15
Colorado Springs,31,-0.42,-0.12,-0.48,-0.22,1.13,0.96,0.08,0.73,0.06,0.1,11.81,17.54,2,0.9,3.16,3.29,0.13,8.16,0.23,0.23,3.65,0.01,0.01,0.09,42.81,0.13,0.13,2.03,0.03,0.03,0.4,5.13,0.03,0.03,0.68,0.05,0.04,1,0.68,0.06,0.07,0.84,0,0,0.05,15.87,0,0,0.1,0,0,0,21.13,79,2,2.77,32,37,37.23,8.16,2.13,28,430.84,341.58,378.23,2.55,0.87,11.71,50,5.87,5.84,40.1,10.65,47.17,0.2,82.74,49.16,144.61,32.29,28.03,6.19,74.48,52,20.35,73,51,183.26,50.48,0.56,0.75,0.24,-0.07,-0.19,1.29
Birmingham Legion,29,-0.48,-0.32,-0.48,-0.27,1.17,0.86,0.09,0.64,0,0.07,9.59,17.93,1.9,0.41,2.28,3.28,0.1,7.07,0.24,0.22,2.48,0.01,0.01,0.06,39.31,0.03,0.11,1.34,0.01,0.03,0.35,3.86,0.07,0.03,0.38,0.2,0.09,1.1,0.34,0.14,0.08,0.72,0.01,0.01,0.05,14.93,0,0,0.03,0,0,0,20.17,79,1.17,2.21,30,33,39.02,7.1,1.69,25,439.86,346.69,390.1,2.37,0.84,11.9,52,6.21,5.69,35.83,13,44.29,0.21,97.66,53.72,162.03,35.31,33.03,6.28,73.1,45,21.28,64,48,181.38,52.48,0.48,0.77,0.35,-0.12,-0.42,1.06
Miami FC,30,-0.5,-0.3,-0.3,-0.2,0.97,1.03,0.09,0.8,0.03,0.03,11.73,17,2.4,1.13,3.57,3.73,0.1,8.67,0.23,0.23,3.07,0.01,0.01,0.08,38.1,0.1,0.11,1.67,0.03,0.03,0.48,3.5,0.03,0.01,0.23,0.14,0.04,1,0.23,0.1,0.1,1,0.01,0.01,0.07,14.6,0,0.01,0.17,0,0,0.01,19.77,77,1.63,2.43,32,41,39.37,8.33,2.7,30,427.83,330.8,379.33,2.95,0.87,10.87,57,6.23,4.63,34.23,10.36,43.08,0.21,95.63,59.73,159.4,38.37,30.53,6.33,72.43,45,19.83,65,49,196.03,50.73,0.72,0.68,0.26,-0.05,0.04,1.65
Monterey Bay,30,-0.6,-0.11,-0.57,-0.11,0.9,1.07,0.1,0.88,0,0.07,10.23,16.13,1.83,1.17,2.33,2.7,0.1,7.77,0.1,0.19,2.47,0,0,0.06,39.5,0.03,0.1,1.27,0.01,0.02,0.28,4.47,0,0.02,0.47,0,0.05,1.27,0.37,0.07,0.06,0.63,0,0,0.04,15.13,0,0.01,0.1,0,0,0.01,19.53,78,2.57,3.97,37,38,37.23,9.43,2.4,31,413.87,322.2,364.83,2.91,0.87,10.63,53,5.6,5.03,33.57,11.26,44.4,0.2,90.9,54.07,161.23,34.93,27.53,4.8,68.73,43,17.67,64,48,184.23,50.48,0.68,0.69,0.34,-0.14,-0.04,1.53
Las Vegas Lights,30,-0.9,-0.64,-0.83,-0.54,0.77,0.65,0.07,0.5,0.03,0.07,9.17,18.99,1.43,0.8,2.6,3.57,0.1,6.93,0.1,0.15,2.23,0,0,0.06,36.53,0.03,0.09,1.23,0.01,0.02,0.33,3.73,0,0.01,0.33,0,0.04,1.11,0.3,0.07,0.04,0.67,0,0,0.05,14.07,0,0,0,0,0,0,18.43,80,0.93,1.37,33,40,41.85,7.13,1.8,30,411.67,330.9,364.93,2.59,0.85,11.6,55,6.33,5.27,33.37,12.03,43.93,0.23,107.17,58.5,171.27,38.27,27.37,4.83,73.37,43,17.23,63,47,178.27,51.45,0.49,0.62,0.25,-0.11,-0.22,1.03
