Team Name,Games,Goal Difference,xG Difference w/Pen,NP Goal Difference,NP xG Difference,Goals,NP xG,xG/Shot,OP xG,Own Goals,Penalty Goals,Shots,Shot Distance,Clear Shots,Counter-attack Shots,High Press Shots,Shots Outside Box,Penalties,OP Shots,SP Goals,SP xG,SP Shots,Goals/SP,xG/SP,Shots/SP,SP,Corner Goals,Corner xG,Corner Shots,Goals/Corner,xG/Corner,Shots/Corner,Corners,DFK Goals,DFK xG,DFK Shots,Goals/DFK,xG/DFK,Shots/DFK,DFK,IFK Goals,IFK xG,IFK  Shots,Goals/IFK,xG/IFK,Shots/IFK,IFK,Throw-in Goals,Throw-in xG,Throw-in Shots,Goals/Throw-in,xG/Throw-in,Shots/Throw-in,Throw-ins,Passing%,Passes Inside Box,Deep Completions,Box Cross%,GK Long Pass%,GK Pass Length,Box Crosses,Successful Box Crosses,Successful Box Cross%,Passes,Successful Passes,OP Passes,Pace To Goal,Directness,Dribbles,Dribble%,Successful Dribbles,Failed Dribbles,Deep Progressions,PPDA,Defensive Distance,Aggression,Aggressive Actions,Defensive Regains,Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Possession%,Possessions,Ball In Play Time,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Mallorca,38,-0.24,-0.21,-0.26,-0.26,0.92,0.88,0.09,0.63,0.03,0.11,10.03,15.05,1.66,0.71,2.11,2.29,0.13,6.82,0.21,0.25,3.21,0.01,0.01,0.09,36.37,0.13,0.16,2,0.03,0.04,0.52,3.82,0,0.01,0.21,0,0.04,1.14,0.18,0.05,0.06,0.66,0,0,0.05,12.55,0.03,0.04,0.34,0,0,0.02,19.82,78,1.63,2.58,35,46,43.18,9.47,3.05,32,432.26,337.5,384.68,2.58,0.89,13.03,52,6.71,6.32,36.53,11.27,42.53,0.2,99.5,50.92,169.53,29.5,31.47,3.13,71.24,42,21.68,69,47,168.95,52.85,0.73,0.54,0.38,-0.15,0.11,1.61
Valencia,38,-0.26,-0.24,-0.18,-0.16,1.16,0.95,0.09,0.71,0.08,0.13,10.13,16.01,1.71,0.47,2.18,2.68,0.13,7.34,0.18,0.24,2.79,0,0.01,0.07,40.08,0.18,0.18,1.92,0.04,0.04,0.39,4.89,0,0.01,0.18,0,0.05,1,0.18,0,0.05,0.68,0,0,0.05,14.84,0,0,0,0,0,0,20.16,79,1.58,2.29,38,35,41.41,9.82,2.45,28,469.5,372.42,419.76,2.46,0.88,13.42,45,6.11,7.32,40.37,11.83,43.85,0.2,102.92,51.32,169.89,31.95,33.29,3.63,78.79,46,23.16,70,48,174.74,54.26,0.68,0.63,0.26,-0.04,-0.07,1.45
Deportivo Alavés,38,-0.26,-0.12,-0.16,-0.12,1,0.84,0.08,0.59,0.05,0.24,10.5,16.5,1.79,1.03,2.18,2.84,0.29,6.89,0.13,0.26,3.61,0,0.01,0.09,41.18,0.11,0.17,2.13,0.02,0.04,0.45,4.79,0,0.01,0.26,0,0.04,1.11,0.24,0.03,0.06,0.79,0,0,0.06,14.21,0,0.02,0.42,0,0,0.02,21.95,72,1.61,2.92,34,42,55.41,10.21,2.71,28,393,284.29,341.84,2.94,0.86,10.63,44,4.68,5.95,35.61,8.79,44.38,0.24,114.82,53.37,189.29,32.84,32.13,3.61,85.58,45,24.11,75,46,179.87,48.9,0.88,0.58,0.11,-0.12,0.02,1.48
Real Sociedad,38,-0.29,0,-0.29,0.06,0.92,1.01,0.1,0.79,0,0.11,10.34,16.28,2,0.76,2.26,2.47,0.11,7.21,0.13,0.22,3.13,0,0.01,0.08,41.45,0.08,0.16,2.16,0.01,0.03,0.38,5.68,0.03,0.01,0.26,0.1,0.03,1,0.26,0.03,0.05,0.61,0,0,0.04,13.63,0,0.01,0.11,0,0,0,21.87,80,2.66,3.74,31,47,38.87,8.18,1.92,21,496.13,396.84,445.74,2.58,0.85,14.58,47,6.89,7.68,40.92,8.76,45.47,0.23,100.42,53.47,167.79,33.24,35.42,4.76,85.05,51,25.34,72,54,175.32,52.21,0.65,0.67,0.31,-0.09,-0.1,1.44
Espanyol,38,-0.29,-0.46,-0.34,-0.44,1.05,0.75,0.08,0.56,0.03,0.13,9.21,17.11,1.76,1.03,2.34,2.53,0.13,6.32,0.29,0.19,2.89,0.01,0.01,0.09,33.97,0.16,0.11,1.74,0.04,0.03,0.46,3.79,0.03,0.02,0.39,0.07,0.05,1,0.39,0.11,0.05,0.63,0.01,0,0.05,12.76,0,0.01,0.13,0,0,0.01,17.03,76,1.37,2.18,35,45,40.74,7.92,2.18,27,372.13,282.13,327.68,2.91,0.88,11.89,51,6.08,5.82,29.42,12.88,41.96,0.21,120.68,54.87,192.79,32.16,29.21,2.84,75.84,39,20.13,69,40,165.71,54.25,0.55,0.63,0.45,-0.11,0.15,1.66
Sevilla,38,-0.34,-0.05,-0.32,0.01,1.11,0.99,0.08,0.78,0.03,0.05,12.47,17.65,2.26,1.32,3.32,4.03,0.08,9.61,0.18,0.21,2.87,0,0.01,0.08,38.13,0.11,0.13,1.84,0.02,0.03,0.38,4.87,0,0.01,0.39,0,0.03,1.07,0.37,0.05,0.06,0.53,0,0,0.04,12.45,0.03,0.01,0.11,0,0,0.01,20.45,81,2,3.21,32,33,41.27,7.82,1.63,21,479.39,386.08,432.29,2.48,0.87,16.16,53,8.5,7.66,37.55,10.5,43.45,0.21,98.55,51.13,161.82,31.18,30.08,2.89,72.95,45,20.21,67,51,171.79,53.32,0.6,0.67,0.31,-0.09,-0.29,1.2
Girona,38,-0.42,-0.18,-0.45,-0.16,1.16,0.97,0.09,0.76,0.03,0.11,10.63,16.53,1.97,0.53,2.11,2.82,0.13,8.16,0.26,0.21,2.47,0.01,0.01,0.07,36.42,0.16,0.14,1.58,0.03,0.03,0.32,4.89,0.05,0.04,0.39,0.18,0.12,1.36,0.29,0.03,0.03,0.47,0,0,0.04,12.68,0.03,0,0.03,0,0,0,18.55,86,2.37,3.68,37,45,33.78,10.32,2.63,26,564.39,484.61,519.18,2.17,0.86,13.63,56,7.61,6.03,51.84,10.36,46.37,0.22,99.18,49.24,160.97,30.53,30.53,3.61,77.03,48,20.24,66,56,157.66,57.57,0.6,0.8,0.23,0.01,-0.18,1.47
Leganés,38,-0.45,-0.62,-0.34,-0.6,1.03,0.7,0.08,0.56,0.08,0.13,9.11,18.68,1.71,0.55,1.89,3.13,0.18,6.58,0.13,0.15,2.53,0,0,0.07,34,0.05,0.07,1.21,0.02,0.02,0.41,2.97,0.03,0.02,0.55,0.05,0.03,1.11,0.5,0.05,0.05,0.71,0,0,0.05,13.37,0,0,0.05,0,0,0,17.16,76,1.39,2.24,28,29,57.29,5.87,1.53,23,397.71,301.92,352.47,2.72,0.84,13.05,57,7.39,5.66,29.84,10.81,42.66,0.2,107.74,53.84,174.16,31.42,30.84,3.18,73.97,42,22.29,72,43,175.16,52.31,0.55,0.57,0.32,0.13,0.02,1.59
Las Palmas,38,-0.55,-0.68,-0.47,-0.55,1.05,0.88,0.08,0.66,0.08,0.08,10.76,17.86,1.97,0.87,2.63,2.92,0.11,7.58,0.21,0.22,3.18,0.01,0.01,0.08,40.03,0.11,0.11,1.58,0.03,0.03,0.38,4.21,0.08,0.02,0.58,0.14,0.03,1.05,0.55,0.03,0.06,0.74,0,0,0.05,14.68,0,0.03,0.29,0,0,0.01,20.58,80,2.24,3.34,32,41,37.87,8.11,2.26,25,483.26,384.74,432.92,2.62,0.86,12.82,49,6.34,6.47,36.84,10.76,43.12,0.2,97.03,52.63,165.13,30.74,33.08,3.87,70.18,43,22.39,68,51,174.32,52.88,0.69,0.55,0.15,0.03,0.01,1.43
Real Valladolid,38,-1.68,-0.77,-1.61,-0.72,0.68,0.76,0.09,0.6,0.03,0.13,8.76,16.66,1.34,0.71,1.68,2.42,0.13,6.47,0.11,0.16,2.29,0,0,0.06,35.89,0.05,0.1,1.29,0.01,0.03,0.31,4.11,0.05,0.01,0.29,0.18,0.03,1,0.29,0,0.03,0.63,0,0,0.04,14.42,0,0.01,0.08,0,0,0,17.08,79,1.18,1.95,42,42,40.86,9.37,2.66,40,407.66,320.55,359.42,2.76,0.88,13.61,53,7.18,6.42,29.03,13.3,40.18,0.2,109.42,56.18,177.24,31.79,27.92,2.55,63.68,36,17.39,62,43,166.39,53.62,0.52,0.62,0.41,-0.17,-0.51,0.87
